delay_us,autocorr_H_db,crosscorr_HV_db
-8.872477e+00,-1.400000e+02,-1.400000e+02
-8.868408e+00,-1.400000e+02,-1.400000e+02
-8.864339e+00,-1.400000e+02,-1.400000e+02
-8.860270e+00,-1.400000e+02,-1.400000e+02
-8.856201e+00,-1.400000e+02,-1.400000e+02
-8.852132e+00,-1.400000e+02,-1.400000e+02
-8.848063e+00,-1.400000e+02,-1.400000e+02
-8.843994e+00,-1.400000e+02,-1.400000e+02
-8.839925e+00,-1.400000e+02,-1.400000e+02
-8.835856e+00,-1.400000e+02,-1.400000e+02
-8.831787e+00,-1.400000e+02,-1.400000e+02
-8.827718e+00,-1.400000e+02,-1.400000e+02
-8.823649e+00,-1.400000e+02,-1.400000e+02
-8.819580e+00,-1.400000e+02,-1.400000e+02
-8.815511e+00,-1.400000e+02,-1.400000e+02
-8.811442e+00,-1.400000e+02,-1.400000e+02
-8.807373e+00,-1.400000e+02,-1.400000e+02
-8.803304e+00,-1.400000e+02,-1.400000e+02
-8.799235e+00,-1.400000e+02,-1.400000e+02
-8.795166e+00,-1.400000e+02,-1.400000e+02
-8.791097e+00,-1.400000e+02,-1.400000e+02
-8.787028e+00,-1.400000e+02,-1.400000e+02
-8.782959e+00,-1.400000e+02,-1.400000e+02
-8.778890e+00,-1.400000e+02,-1.400000e+02
-8.774821e+00,-1.400000e+02,-1.400000e+02
-8.770752e+00,-1.400000e+02,-1.400000e+02
-8.766683e+00,-1.400000e+02,-1.400000e+02
-8.762614e+00,-1.400000e+02,-1.400000e+02
-8.758545e+00,-1.400000e+02,-1.400000e+02
-8.754476e+00,-1.400000e+02,-1.400000e+02
-8.750407e+00,-1.400000e+02,-1.400000e+02
-8.746338e+00,-1.400000e+02,-1.400000e+02
-8.742269e+00,-1.400000e+02,-1.400000e+02
-8.738200e+00,-1.400000e+02,-1.400000e+02
-8.734131e+00,-1.400000e+02,-1.400000e+02
-8.730062e+00,-1.400000e+02,-1.400000e+02
-8.725993e+00,-1.400000e+02,-1.400000e+02
-8.721924e+00,-1.400000e+02,-1.400000e+02
-8.717855e+00,-1.400000e+02,-1.400000e+02
-8.713786e+00,-1.400000e+02,-1.400000e+02
-8.709717e+00,-1.400000e+02,-1.400000e+02
-8.705648e+00,-1.400000e+02,-1.400000e+02
-8.701579e+00,-1.400000e+02,-1.400000e+02
-8.697510e+00,-1.400000e+02,-1.400000e+02
-8.693441e+00,-1.400000e+02,-1.400000e+02
-8.689372e+00,-1.400000e+02,-1.400000e+02
-8.685303e+00,-1.400000e+02,-1.400000e+02
-8.681234e+00,-1.400000e+02,-1.400000e+02
-8.677165e+00,-1.400000e+02,-1.400000e+02
-8.673096e+00,-1.400000e+02,-1.400000e+02
-8.669027e+00,-1.400000e+02,-1.400000e+02
-8.664958e+00,-1.400000e+02,-1.400000e+02
-8.660889e+00,-1.400000e+02,-1.400000e+02
-8.656820e+00,-1.400000e+02,-1.400000e+02
-8.652751e+00,-1.400000e+02,-1.400000e+02
-8.648682e+00,-1.400000e+02,-1.400000e+02
-8.644613e+00,-1.400000e+02,-1.400000e+02
-8.640544e+00,-1.400000e+02,-1.400000e+02
-8.636475e+00,-1.400000e+02,-1.400000e+02
-8.632406e+00,-1.400000e+02,-1.400000e+02
-8.628337e+00,-1.400000e+02,-1.400000e+02
-8.624268e+00,-1.400000e+02,-1.400000e+02
-8.620199e+00,-1.400000e+02,-1.400000e+02
-8.616130e+00,-1.400000e+02,-1.400000e+02
-8.612061e+00,-1.400000e+02,-1.400000e+02
-8.607992e+00,-1.400000e+02,-1.400000e+02
-8.603923e+00,-1.400000e+02,-1.400000e+02
-8.599854e+00,-1.400000e+02,-1.400000e+02
-8.595785e+00,-1.400000e+02,-1.400000e+02
-8.591715e+00,-1.400000e+02,-1.400000e+02
-8.587646e+00,-1.400000e+02,-1.400000e+02
-8.583577e+00,-1.400000e+02,-1.400000e+02
-8.579508e+00,-1.400000e+02,-1.400000e+02
-8.575439e+00,-1.400000e+02,-1.400000e+02
-8.571370e+00,-1.400000e+02,-1.400000e+02
-8.567301e+00,-1.400000e+02,-1.400000e+02
-8.563232e+00,-1.400000e+02,-1.400000e+02
-8.559163e+00,-1.400000e+02,-1.400000e+02
-8.555094e+00,-1.400000e+02,-1.400000e+02
-8.551025e+00,-1.400000e+02,-1.400000e+02
-8.546956e+00,-1.400000e+02,-1.400000e+02
-8.542887e+00,-1.400000e+02,-1.400000e+02
-8.538818e+00,-1.400000e+02,-1.400000e+02
-8.534749e+00,-1.400000e+02,-1.400000e+02
-8.530680e+00,-1.400000e+02,-1.400000e+02
-8.526611e+00,-1.400000e+02,-1.400000e+02
-8.522542e+00,-1.400000e+02,-1.400000e+02
-8.518473e+00,-1.400000e+02,-1.400000e+02
-8.514404e+00,-1.400000e+02,-1.400000e+02
-8.510335e+00,-1.400000e+02,-1.400000e+02
-8.506266e+00,-1.400000e+02,-1.400000e+02
-8.502197e+00,-1.400000e+02,-1.400000e+02
-8.498128e+00,-1.400000e+02,-1.400000e+02
-8.494059e+00,-1.400000e+02,-1.400000e+02
-8.489990e+00,-1.400000e+02,-1.400000e+02
-8.485921e+00,-1.400000e+02,-1.400000e+02
-8.481852e+00,-1.400000e+02,-1.400000e+02
-8.477783e+00,-1.400000e+02,-1.400000e+02
-8.473714e+00,-1.400000e+02,-1.400000e+02
-8.469645e+00,-1.400000e+02,-1.400000e+02
-8.465576e+00,-1.400000e+02,-1.400000e+02
-8.461507e+00,-1.400000e+02,-1.400000e+02
-8.457438e+00,-1.400000e+02,-1.400000e+02
-8.453369e+00,-1.400000e+02,-1.400000e+02
-8.449300e+00,-1.400000e+02,-1.400000e+02
-8.445231e+00,-1.400000e+02,-1.400000e+02
-8.441162e+00,-1.400000e+02,-1.400000e+02
-8.437093e+00,-1.400000e+02,-1.400000e+02
-8.433024e+00,-1.400000e+02,-1.400000e+02
-8.428955e+00,-1.400000e+02,-1.400000e+02
-8.424886e+00,-1.400000e+02,-1.400000e+02
-8.420817e+00,-1.400000e+02,-1.400000e+02
-8.416748e+00,-1.400000e+02,-1.400000e+02
-8.412679e+00,-1.400000e+02,-1.400000e+02
-8.408610e+00,-1.400000e+02,-1.400000e+02
-8.404541e+00,-1.400000e+02,-1.400000e+02
-8.400472e+00,-1.400000e+02,-1.400000e+02
-8.396403e+00,-1.400000e+02,-1.400000e+02
-8.392334e+00,-1.400000e+02,-1.400000e+02
-8.388265e+00,-1.400000e+02,-1.400000e+02
-8.384196e+00,-1.400000e+02,-1.400000e+02
-8.380127e+00,-1.400000e+02,-1.400000e+02
-8.376058e+00,-1.400000e+02,-1.400000e+02
-8.371989e+00,-1.400000e+02,-1.400000e+02
-8.367920e+00,-1.400000e+02,-1.400000e+02
-8.363851e+00,-1.400000e+02,-1.400000e+02
-8.359782e+00,-1.400000e+02,-1.400000e+02
-8.355713e+00,-1.400000e+02,-1.400000e+02
-8.351644e+00,-1.400000e+02,-1.400000e+02
-8.347575e+00,-1.400000e+02,-1.400000e+02
-8.343506e+00,-1.400000e+02,-1.400000e+02
-8.339437e+00,-1.400000e+02,-1.400000e+02
-8.335368e+00,-1.400000e+02,-1.400000e+02
